variant_label,sub_test_json,pair_group,left_scale,right_scale,item_id,item_text,left_anchor,right_anchor,left_choice_score,right_choice_score,score_maps_equal,suggested_direct_scale,suggested_reverse_scale,review_status
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",S/N,S1,N1,53,내가 주로 읽고 싶거나 듣고 싶은 것들은,아름다운 은유를 사용한 시이다.,유명한 역사적 사건에 대한 상세한 설명이다.,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",S/N,S1,N1,138,,직관적,사실적,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",S/N,S1,N1,140,,이상적,실제적,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",S/N,S1,N1,147,,세부적,포괄적,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",S/N,S1,N1,155,,문자 그대로,비유적,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",S/N,S1,N1,160,,보이는 것을 중시하는,생각을 중시하는,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",T/F,T1,F1,13,나는 일반적으로,타인의 어려움에 잘 공감하는 사람이다.,감정적인 상황일지라도 이성적이다.,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",T/F,T1,F1,38,"중요한 사안에 대해 내 입장을 결정할 때, 나는 가장 먼저",그 결정이 내 주변 사람이나 나에게 미칠 영향을 고려한다.,객관적으로 정보를 수집하고 분석한다.,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",T/F,T1,F1,40,"반대 의견에 대해,나는",열정적으로 내 의견을 표현한다.,논리적이고 냉정하게 대처한다.,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",T/F,T1,F1,45,나는 상당히,논리적인 사람으로 알려져 있다.,정이 많은 사람으로 알려져 있다.,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",T/F,T1,F1,49,"슬픈 영화를 볼 때, 나는",잘 울지 않는 편이다.,감동적인 장면에서 눈물을 흘리는 편이다.,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",T/F,T1,F1,54,"내가 잘 알고 있는 두 사람 간의 논쟁을 들을 때, 나는",그들의 감정에 쉽게 휩쓸린다.,거리를 두고 평정심을 유지한다.,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",T/F,T1,F1,133,,이성적,감성적,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",T/F,T1,F1,152,,감성적,감성적이지 않은,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",E/I,E2,I2,14,"연설을 요청받는다면, 나는",주저한다.,기꺼이 하고자 한다.,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",E/I,E2,I2,24,"사교 모임에서, 나는 주로",대화를 주도한다.,다른 사람들이 다가와 주기를 기다린다.,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",E/I,E2,I2,33,"새로운 일을 시작하거나 새로운 곳으로 이사했을 때, 나는 주로 새로운 친구를",천천히 사귀는 편이다.,빨리 사귀는 편이다.,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",E/I,E2,I2,47,"내가 잘 모르는 사람들과 대화를 해야 할 때, 나는",먼저 말을 하려 하지 않는다.,먼저 말을 하는 편이다.,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",E/I,E2,I2,120,,전혀 나 같지 않음,매우 나 같음,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",E/I,E2,I2,122,,전혀 나 같지 않음,매우 나 같음,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",E/I,E2,I2,165,,대담한,수줍어하는,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",E/I,E2,I2,168,,무뚝뚝한,상냥한,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",S/N,S2,N2,39,나는 주로,효과가 있었던 기존의 방법을 찾는 편이다.,새롭고 더 나은 방법을 찾아보는 편이다.,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",S/N,S2,N2,87,,전혀 나 같지 않음,매우 나 같음,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",S/N,S2,N2,95,,전혀 나 같지 않음,매우 나 같음,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",S/N,S2,N2,98,,전혀 나 같지 않음,매우 나 같음,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",S/N,S2,N2,126,,전혀 나 같지 않음,매우 나 같음,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",S/N,S2,N2,127,,전혀 나 같지 않음,매우 나 같음,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",S/N,S2,N2,129,,전혀 나 같지 않음,매우 나 같음,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",S/N,S2,N2,130,,전혀 나 같지 않음,매우 나 같음,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",T/F,T2,F2,59,"나는 의사결정을 할 때,",주변 사람의 감정에 영향을 받지 않으려 한다.,주변 사람의 감정을 배려하려고 한다.,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",T/F,T2,F2,77,,전혀 나 같지 않음,매우 나 같음,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",T/F,T2,F2,88,,전혀 나 같지 않음,매우 나 같음,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",T/F,T2,F2,93,,전혀 나 같지 않음,매우 나 같음,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",T/F,T2,F2,97,,전혀 나 같지 않음,매우 나 같음,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",T/F,T2,F2,114,,전혀 나 같지 않음,매우 나 같음,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",T/F,T2,F2,125,,전혀 나 같지 않음,매우 나 같음,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
adult,"{""age_range"": {""as_of_time"": ""00:00:00"", ""start_inclusive"": [18, 0, 0], ""end_exclusive"": [99, 99, 99]}, ""gender"": [""male"", ""female""]}",E/I,E3,I3,6,"모임에서 떠나려 할 때, 나는",그냥 말없이 떠날 것이다.,작별인사를 하는 데 많은 시간을 들일 것이다.,"{""1"": ""1"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7""}","{""1"": ""7"", ""2"": ""6"", ""3"": ""5"", ""4"": ""4"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1""}",no,,,needs_review
